"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4866","Verify user can get a discount","Google Chrome","Wed Feb 19 08:30:24 UTC 2025","passed","Wed Feb 19 08:30:29 UTC 2025","Checkout page","ui/checkout.spec.ts","",""
"","3538","Verify admin login via BE","Mobile Chrome","Wed Feb 19 08:29:35 UTC 2025","passed","Wed Feb 19 08:29:39 UTC 2025","My account page","ui/my_account.spec.ts","",""
"","4223","Verify art can be added to basket","Mobile Safari","Wed Feb 19 08:29:40 UTC 2025","passed","Wed Feb 19 08:29:45 UTC 2025","Arts page","ui/arts.spec.ts","",""
"","4002","Verify admin login via BE","Mobile Safari","Wed Feb 19 08:29:57 UTC 2025","passed","Wed Feb 19 08:30:01 UTC 2025","My account page","ui/my_account.spec.ts","",""
"","851","Verify art can be added to basket","Microsoft Edge","Wed Feb 19 08:30:05 UTC 2025","passed","Wed Feb 19 08:30:06 UTC 2025","Arts page","ui/arts.spec.ts","",""
"","5219","Verify user can get a discount","Microsoft Edge","Wed Feb 19 08:30:09 UTC 2025","passed","Wed Feb 19 08:30:14 UTC 2025","Checkout page","ui/checkout.spec.ts","",""
"","5554","Verify user can get a discount","Mobile Chrome","Wed Feb 19 08:29:33 UTC 2025","passed","Wed Feb 19 08:29:38 UTC 2025","Checkout page","ui/checkout.spec.ts","",""
"","4595","Verify user can save delivery details address","Mobile Chrome","Wed Feb 19 08:29:31 UTC 2025","passed","Wed Feb 19 08:29:35 UTC 2025","Checkout page","ui/checkout.spec.ts","",""
"","2039","Verify new user can be registered via UI","Mobile Chrome","Wed Feb 19 08:29:38 UTC 2025","passed","Wed Feb 19 08:29:40 UTC 2025","Sign up page","ui/register.user.spec.ts","",""
"","3613","Verify admin login via BE","Google Chrome","Wed Feb 19 08:30:28 UTC 2025","passed","Wed Feb 19 08:30:31 UTC 2025","My account page","ui/my_account.spec.ts","",""
"","9124","Verify user can save delivery details address","Mobile Safari","Wed Feb 19 08:29:48 UTC 2025","passed","Wed Feb 19 08:29:57 UTC 2025","Checkout page","ui/checkout.spec.ts","",""
"","799","Verify art can be removed from basket","Mobile Chrome","Wed Feb 19 08:29:30 UTC 2025","passed","Wed Feb 19 08:29:31 UTC 2025","Arts page","ui/arts.spec.ts","",""
